,experience_level,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
88,SE,data engineer,175000,USD,175000,US,remote,US,M
89,SE,data engineer,185000,USD,185000,US,onsite,US,M
90,SE,data engineer,140000,USD,140000,US,onsite,US,M
91,SE,data scientist,45000,EUR,48289,ES,onsite,ES,M
92,SE,data scientist,36000,EUR,38631,ES,onsite,ES,M
93,SE,data scientist,105000,USD,105000,US,onsite,US,M
94,SE,data scientist,70000,USD,70000,US,onsite,US,M
97,SE,data engineer,217000,USD,217000,US,remote,US,M
98,SE,data engineer,185000,USD,185000,US,remote,US,M
99,SE,data analyst,202800,USD,202800,US,onsite,US,L
100,SE,data analyst,104300,USD,104300,US,onsite,US,L
101,SE,data analyst,145000,USD,145000,US,onsite,US,M
102,SE,data analyst,65000,USD,65000,US,onsite,US,M
103,SE,data engineer,165000,USD,165000,US,onsite,US,M
104,SE,data engineer,132300,USD,132300,US,onsite,US,M
105,SE,data engineer,179170,USD,179170,US,onsite,US,M
106,SE,data engineer,94300,USD,94300,US,onsite,US,M
109,SE,data engineer,247300,USD,247300,US,onsite,US,M
110,SE,data engineer,133800,USD,133800,US,onsite,US,M
115,SE,data scientist,150000,USD,150000,US,onsite,US,M
116,SE,data scientist,120000,USD,120000,US,onsite,US,M
125,SE,data engineer,185900,USD,185900,US,onsite,US,M
126,SE,data engineer,129300,USD,129300,US,onsite,US,M
127,SE,data engineer,252000,USD,252000,US,onsite,US,M
128,SE,data engineer,129000,USD,129000,US,onsite,US,M
131,SE,data engineer,161800,USD,161800,US,remote,US,M
132,SE,data engineer,141600,USD,141600,US,remote,US,M
135,MI,data engineer,100000,USD,100000,US,remote,US,M
136,MI,data engineer,70000,USD,70000,US,remote,US,M
137,EN,data engineer,85000,USD,85000,US,onsite,US,M
138,EN,data engineer,65000,USD,65000,US,onsite,US,M
139,SE,data scientist,138784,USD,138784,US,remote,US,M
140,SE,data scientist,83270,USD,83270,US,remote,US,M
141,EN,data analyst,75000,USD,75000,US,onsite,US,M
142,EN,data analyst,70000,USD,70000,US,onsite,US,M
143,SE,data analyst,204500,USD,204500,US,onsite,US,M
144,SE,data analyst,138900,USD,138900,US,onsite,US,M
147,SE,data engineer,95000,USD,95000,US,remote,US,M
148,SE,data engineer,75000,USD,75000,US,remote,US,M
149,SE,data scientist,195000,USD,195000,US,onsite,US,M
150,SE,data scientist,160000,USD,160000,US,onsite,US,M
153,MI,data engineer,100000,USD,100000,US,remote,US,M
154,MI,data engineer,70000,USD,70000,US,remote,US,M
155,MI,business data analyst,105000,USD,105000,US,hybrid,US,L
156,MI,applied data scientist,1700000,INR,20670,IN,remote,IN,L
157,MI,data analyst,38000,GBP,46178,GB,onsite,GB,M
158,MI,data analyst,35000,GBP,42533,GB,onsite,GB,M
159,SE,data engineer,145000,USD,145000,US,onsite,US,M
160,SE,data engineer,115000,USD,115000,US,onsite,US,M
161,SE,data analyst,168400,USD,168400,US,onsite,US,M
162,SE,data analyst,105200,USD,105200,US,onsite,US,M
167,MI,data engineer,162500,USD,162500,US,onsite,US,M
168,MI,data engineer,130000,USD,130000,US,onsite,US,M
171,SE,data engineer,145000,USD,145000,US,onsite,US,M
172,SE,data engineer,120000,USD,120000,US,onsite,US,M
175,SE,data analyst,45000,GBP,54685,CF,remote,CF,M
176,SE,data analyst,35000,GBP,42533,CF,remote,CF,M
177,SE,data engineer,241000,USD,241000,US,onsite,US,M
178,SE,data engineer,155000,USD,155000,US,onsite,US,M
179,SE,data engineer,220000,USD,220000,US,remote,US,M
180,SE,data engineer,190000,USD,190000,US,remote,US,M
181,MI,data scientist,55000,GBP,66837,GB,onsite,GB,M
182,MI,data scientist,45000,GBP,54685,GB,onsite,GB,M
183,EX,staff data analyst,15000,USD,15000,NG,onsite,CA,M
186,EN,data analyst,85000,USD,85000,US,remote,US,M
187,EN,data analyst,75000,USD,75000,US,remote,US,M
188,SE,data engineer,160000,USD,160000,US,onsite,US,M
189,SE,data engineer,140000,USD,140000,US,onsite,US,M
192,SE,data scientist,228000,USD,228000,US,onsite,US,M
193,SE,data scientist,186000,USD,186000,US,onsite,US,M
194,SE,data scientist,190000,USD,190000,US,onsite,US,M
195,SE,data scientist,170000,USD,170000,US,onsite,US,M
203,EX,data engineer,220000,USD,220000,US,onsite,US,M
204,EX,data engineer,205000,USD,205000,US,onsite,US,M
205,MI,data engineer,180000,USD,180000,US,onsite,US,M
206,MI,data engineer,130000,USD,130000,US,onsite,US,M
207,SE,data engineer,200000,USD,200000,US,remote,US,M
208,SE,data engineer,150000,USD,150000,US,remote,US,M
213,SE,data scientist,224000,USD,224000,CA,onsite,CA,M
214,SE,data scientist,176000,USD,176000,CA,onsite,CA,M
215,SE,data analyst,120000,USD,120000,US,remote,US,M
216,SE,data analyst,75000,USD,75000,US,remote,US,M
217,EN,data engineer,1400000,INR,17022,IN,remote,IN,L
218,SE,applied data scientist,100000,AUD,68318,AU,remote,FI,M
220,SE,data analyst,140000,USD,140000,US,onsite,US,M
221,SE,data analyst,120000,USD,120000,US,onsite,US,M
222,SE,data engineer,128000,USD,128000,US,onsite,US,M
223,SE,data engineer,81500,USD,81500,US,onsite,US,M
224,SE,data engineer,145000,USD,145000,US,onsite,US,M
225,SE,data engineer,115000,USD,115000,US,onsite,US,M
226,SE,data engineer,185000,USD,185000,US,onsite,US,M
227,SE,data engineer,140000,USD,140000,US,onsite,US,M
232,SE,data scientist,250000,USD,250000,US,onsite,US,M
233,SE,data scientist,162500,USD,162500,US,onsite,US,M
235,SE,data engineer,145000,USD,145000,US,onsite,US,M
236,SE,data engineer,100000,USD,100000,US,onsite,US,M
237,EX,data engineer,145000,USD,145000,US,onsite,US,M
238,EX,data engineer,115000,USD,115000,US,onsite,US,M
239,SE,data scientist,203500,USD,203500,US,onsite,US,M
240,SE,data scientist,152000,USD,152000,US,onsite,US,M
241,SE,data scientist,239000,USD,239000,US,onsite,US,L
242,SE,data scientist,122900,USD,122900,US,onsite,US,L
243,SE,data scientist,237000,USD,237000,US,onsite,US,M
244,SE,data scientist,145000,USD,145000,US,onsite,US,M
249,SE,data scientist,84000,EUR,88256,ES,remote,GB,L
250,EN,data engineer,85000,USD,85000,US,onsite,US,M
251,EN,data engineer,65000,USD,65000,US,onsite,US,M
252,SE,data analyst,135000,USD,135000,US,onsite,US,M
253,SE,data analyst,105500,USD,105500,US,onsite,US,M
256,SE,data analyst,80000,USD,80000,US,onsite,US,M
257,SE,data analyst,70000,USD,70000,US,onsite,US,M
258,SE,data engineer,220000,USD,220000,US,remote,US,M
259,SE,data engineer,160000,USD,160000,US,remote,US,M
260,SE,data scientist,175000,USD,175000,US,remote,US,M
261,SE,data scientist,145000,USD,145000,US,remote,US,M
262,SE,data analyst,200000,USD,200000,US,onsite,US,M
263,SE,data analyst,148500,USD,148500,US,onsite,US,M
264,SE,data scientist,45000,EUR,48289,ES,onsite,ES,M
265,SE,data scientist,36000,EUR,38631,ES,onsite,ES,M
266,SE,data engineer,240500,USD,240500,US,onsite,US,L
267,SE,data engineer,123700,USD,123700,US,onsite,US,L
274,EX,data engineer,175000,USD,175000,US,onsite,US,M
275,EX,data engineer,110000,USD,110000,US,onsite,US,M
282,SE,data analyst,149500,USD,149500,US,remote,US,M
283,SE,data analyst,127075,USD,127075,US,remote,US,M
284,SE,data scientist,195000,USD,195000,US,onsite,US,M
285,SE,data scientist,160000,USD,160000,US,onsite,US,M
286,SE,data engineer,219535,USD,219535,US,remote,US,M
287,SE,data engineer,146115,USD,146115,US,remote,US,M
288,SE,data scientist,170000,USD,170000,US,onsite,US,M
289,SE,data scientist,135000,USD,135000,US,onsite,US,M
290,SE,data scientist,175000,USD,175000,US,remote,US,M
291,SE,data scientist,145000,USD,145000,US,remote,US,M
292,SE,data scientist,199000,USD,199000,US,onsite,US,M
293,SE,data scientist,162000,USD,162000,US,onsite,US,M
298,SE,data analyst,187000,USD,187000,US,onsite,US,M
299,SE,data analyst,128000,USD,128000,US,onsite,US,M
302,SE,data scientist,175000,USD,175000,US,remote,US,M
303,SE,data scientist,100000,USD,100000,US,remote,US,M
304,SE,data engineer,179000,USD,179000,US,onsite,US,M
305,SE,data engineer,109000,USD,109000,US,onsite,US,M
306,SE,data scientist,245000,USD,245000,US,onsite,US,M
307,SE,data scientist,180000,USD,180000,US,onsite,US,M
308,SE,data analyst,142000,USD,142000,US,remote,US,M
309,SE,data analyst,75000,USD,75000,US,remote,US,M
312,SE,data analyst,125000,USD,125000,US,remote,US,M
313,SE,data analyst,112000,USD,112000,US,remote,US,M
314,SE,data scientist,210000,USD,210000,US,onsite,US,M
315,SE,data scientist,155000,USD,155000,US,onsite,US,M
318,SE,data scientist,165000,USD,165000,US,onsite,US,M
319,SE,data scientist,140000,USD,140000,US,onsite,US,M
320,SE,data analyst,139000,USD,139000,US,onsite,US,M
321,SE,data analyst,106000,USD,106000,US,onsite,US,M
322,EN,data analyst,55000,CAD,40663,CA,onsite,CA,L
327,EN,data scientist,70000,CAD,51753,CA,remote,CA,L
330,SE,data engineer,145000,USD,145000,US,onsite,US,M
331,SE,data engineer,115000,USD,115000,US,onsite,US,M
332,SE,data analyst,140000,USD,140000,US,onsite,US,M
333,SE,data analyst,120000,USD,120000,US,onsite,US,M
334,EN,data scientist,130001,USD,130001,US,remote,US,M
335,EN,data scientist,71907,USD,71907,US,remote,US,M
336,MI,data scientist,93918,USD,93918,US,remote,US,M
337,MI,data scientist,51962,USD,51962,US,remote,US,M
338,SE,data analyst,175000,USD,175000,CA,remote,CA,M
339,SE,data analyst,135000,USD,135000,CA,remote,CA,M
340,EN,data engineer,85000,USD,85000,US,onsite,US,M
341,EN,data engineer,65000,USD,65000,US,onsite,US,M
344,SE,data engineer,222000,USD,222000,US,remote,US,M
345,SE,data engineer,175000,USD,175000,US,remote,US,M
346,SE,data scientist,203000,USD,203000,US,remote,US,M
347,SE,data scientist,133200,USD,133200,US,remote,US,M
350,SE,data engineer,221000,USD,221000,US,onsite,US,M
351,SE,data engineer,147000,USD,147000,US,onsite,US,M
354,SE,data scientist,185900,USD,185900,US,onsite,US,M
355,SE,data scientist,129300,USD,129300,US,onsite,US,M
356,SE,data scientist,238000,USD,238000,US,remote,US,M
357,SE,data scientist,156000,USD,156000,US,remote,US,M
360,MI,big data engineer,45000,EUR,48289,ES,remote,ES,M
361,SE,data engineer,150000,USD,150000,US,onsite,US,M
362,SE,data engineer,130000,USD,130000,US,onsite,US,M
363,SE,data scientist,140000,USD,140000,US,remote,US,M
364,SE,data scientist,110000,USD,110000,US,remote,US,M
365,MI,data analyst,90000,USD,90000,US,onsite,US,M
366,MI,data analyst,75000,USD,75000,US,onsite,US,M
369,SE,data engineer,240000,USD,240000,US,onsite,US,M
370,SE,data engineer,183600,USD,183600,US,onsite,US,M
373,SE,data engineer,250000,USD,250000,US,onsite,US,M
374,SE,data engineer,150000,USD,150000,US,onsite,US,M
379,SE,data engineer,145000,USD,145000,US,onsite,US,M
380,SE,data engineer,120000,USD,120000,US,onsite,US,M
381,SE,data analyst,155000,USD,155000,US,onsite,US,M
382,SE,data analyst,106000,USD,106000,US,onsite,US,M
383,SE,data engineer,200000,USD,200000,US,onsite,US,M
384,SE,data engineer,160000,USD,160000,US,onsite,US,M
385,SE,data scientist,157750,USD,157750,US,remote,US,M
386,SE,data scientist,104650,USD,104650,US,remote,US,M
387,MI,data scientist,180000,USD,180000,US,remote,US,M
388,MI,data scientist,140000,USD,140000,US,remote,US,M
389,EX,data scientist,200000,USD,200000,US,onsite,US,M
390,EX,data scientist,145000,USD,145000,US,onsite,US,M
391,MI,lead data analyst,68000,USD,68000,US,onsite,US,L
392,EN,bi data engineer,60000,USD,60000,US,remote,US,M
393,SE,data scientist,45000,EUR,48289,ES,onsite,ES,M
394,SE,data scientist,36000,EUR,38631,ES,onsite,ES,M
395,EN,data engineer,85000,USD,85000,US,onsite,US,M
396,EN,data engineer,65000,USD,65000,US,onsite,US,M
397,MI,data engineer,125000,USD,125000,US,onsite,US,M
398,MI,data engineer,90000,USD,90000,US,onsite,US,M
399,SE,data analyst,105000,USD,105000,US,remote,US,M
400,SE,data analyst,90000,USD,90000,US,remote,US,M
403,SE,data analyst,135000,USD,135000,US,onsite,US,M
404,SE,data analyst,105500,USD,105500,US,onsite,US,M
409,SE,data scientist,252000,USD,252000,US,onsite,US,M
410,SE,data scientist,154000,USD,154000,US,onsite,US,M
413,SE,data scientist,191765,USD,191765,US,onsite,US,M
414,SE,data scientist,134236,USD,134236,US,onsite,US,M
415,SE,data scientist,175000,USD,175000,US,remote,US,M
416,SE,data scientist,145000,USD,145000,US,remote,US,M
417,SE,data scientist,237000,USD,237000,US,remote,US,M
418,SE,data scientist,145000,USD,145000,US,remote,US,M
421,SE,data analyst,80000,USD,80000,US,onsite,US,M
422,SE,data analyst,70000,USD,70000,US,onsite,US,M
423,SE,data engineer,146000,USD,146000,US,onsite,US,M
424,SE,data engineer,75000,USD,75000,US,onsite,US,M
425,EN,data analyst,64200,USD,64200,US,remote,US,M
426,EN,data analyst,56100,USD,56100,US,remote,US,M
429,SE,data analyst,208450,USD,208450,US,remote,US,M
430,SE,data analyst,170550,USD,170550,US,remote,US,M
435,SE,data scientist,200000,USD,200000,US,remote,US,M
436,SE,data scientist,170000,USD,170000,US,remote,US,M
437,SE,data scientist,171250,USD,171250,IE,onsite,IE,M
438,SE,data scientist,113750,USD,113750,IE,onsite,IE,M
443,SE,data analyst,153600,USD,153600,US,onsite,US,M
444,SE,data analyst,100500,USD,100500,US,onsite,US,M
449,MI,data analyst,182500,USD,182500,US,onsite,US,M
450,MI,data analyst,121500,USD,121500,US,onsite,US,M
451,SE,data engineer,203100,USD,203100,US,onsite,US,M
452,SE,data engineer,114500,USD,114500,US,onsite,US,M
453,MI,data analyst,60000,GBP,72914,GB,onsite,GB,M
454,MI,data analyst,45000,GBP,54685,GB,onsite,GB,M
455,SE,data engineer,252000,USD,252000,US,onsite,US,M
456,SE,data engineer,129000,USD,129000,US,onsite,US,M
457,EN,data engineer,92700,USD,92700,US,remote,US,M
458,EN,data engineer,61800,USD,61800,US,remote,US,M
459,SE,data engineer,160000,USD,160000,US,remote,US,M
460,SE,data engineer,130000,USD,130000,US,remote,US,M
461,SE,data scientist,258000,USD,258000,CA,onsite,CA,M
462,SE,data scientist,190000,USD,190000,CA,onsite,CA,M
463,SE,data scientist,170000,USD,170000,US,onsite,US,M
464,SE,data scientist,135000,USD,135000,US,onsite,US,M
467,SE,data scientist,195000,USD,195000,US,onsite,US,M
468,SE,data scientist,160000,USD,160000,US,onsite,US,M
469,MI,data engineer,146000,USD,146000,US,onsite,US,M
470,MI,data engineer,75000,USD,75000,US,onsite,US,M
471,EN,data engineer,57000,EUR,59888,NL,remote,NL,L
472,EX,data engineer,286000,USD,286000,US,remote,US,M
473,EX,data engineer,207000,USD,207000,US,remote,US,M
474,SE,data analyst,100000,USD,100000,US,remote,US,M
475,SE,data analyst,80000,USD,80000,US,remote,US,M
476,SE,data engineer,223250,USD,223250,US,onsite,US,M
477,SE,data engineer,178600,USD,178600,US,onsite,US,M
482,SE,data scientist,297300,USD,297300,US,remote,US,M
483,SE,data scientist,198200,USD,198200,US,remote,US,M
486,SE,data scientist,200000,USD,200000,US,remote,US,M
487,SE,data scientist,170000,USD,170000,US,remote,US,M
488,SE,data scientist,317070,USD,317070,US,onsite,US,M
489,SE,data scientist,170730,USD,170730,US,onsite,US,M
490,SE,data engineer,128000,USD,128000,US,onsite,US,M
491,SE,data engineer,81500,USD,81500,US,onsite,US,M
492,EN,business data analyst,20000,EUR,21461,ES,onsite,ES,M
497,SE,data engineer,171250,USD,171250,US,onsite,US,M
498,SE,data engineer,113750,USD,113750,US,onsite,US,M
499,SE,data engineer,165000,USD,165000,US,onsite,US,M
500,SE,data engineer,132300,USD,132300,US,onsite,US,M
501,SE,data scientist,225000,USD,225000,US,onsite,US,M
502,SE,data scientist,175000,USD,175000,US,onsite,US,M
503,SE,data engineer,230000,USD,230000,US,onsite,US,M
504,SE,data engineer,124500,USD,124500,US,onsite,US,M
507,SE,data analyst,175000,USD,175000,US,onsite,US,M
508,SE,data analyst,145000,USD,145000,US,onsite,US,M
509,SE,data analyst,148700,USD,148700,US,onsite,US,M
510,SE,data analyst,125600,USD,125600,US,onsite,US,M
511,SE,data engineer,145000,USD,145000,US,onsite,US,M
512,SE,data engineer,115000,USD,115000,US,onsite,US,M
517,SE,data analyst,185000,USD,185000,US,remote,US,M
518,SE,data analyst,120250,USD,120250,US,remote,US,M
519,SE,data scientist,275300,USD,275300,US,remote,US,M
520,SE,data scientist,183000,USD,183000,US,remote,US,M
531,SE,data engineer,180000,USD,180000,US,remote,US,M
532,SE,data engineer,165000,USD,165000,US,remote,US,M
533,SE,data scientist,185900,USD,185900,US,onsite,US,M
534,SE,data scientist,129300,USD,129300,US,onsite,US,M
535,SE,data engineer,145000,USD,145000,US,onsite,US,M
536,SE,data engineer,120000,USD,120000,US,onsite,US,M
537,MI,data engineer,143865,USD,143865,US,onsite,US,M
538,MI,data engineer,115092,USD,115092,US,onsite,US,M
541,SE,data scientist,173000,USD,173000,US,remote,US,M
542,SE,data scientist,132000,USD,132000,US,remote,US,M
543,SE,data analyst,208049,USD,208049,US,onsite,US,M
544,SE,data analyst,128500,USD,128500,US,onsite,US,M
547,SE,data engineer,167500,USD,167500,US,onsite,US,M
548,SE,data engineer,106500,USD,106500,US,onsite,US,M
549,SE,data scientist,275300,USD,275300,US,remote,US,M
550,SE,data scientist,183500,USD,183500,US,remote,US,M
551,MI,data engineer,149600,USD,149600,US,onsite,US,M
552,MI,data engineer,102000,USD,102000,US,onsite,US,M
553,EX,data scientist,145000,USD,145000,US,onsite,US,M
554,EX,data scientist,100000,USD,100000,US,onsite,US,M
555,SE,data analyst,190000,USD,190000,US,remote,US,M
556,SE,data analyst,95000,USD,95000,US,remote,US,M
557,SE,data analyst,153600,USD,153600,US,onsite,US,M
558,SE,data analyst,106800,USD,106800,US,onsite,US,M
559,MI,data scientist,90000,EUR,96578,IE,onsite,IE,M
560,MI,data scientist,75000,EUR,80481,IE,onsite,IE,M
561,MI,data analyst,128000,USD,128000,US,onsite,US,M
562,MI,data analyst,85000,USD,85000,US,onsite,US,M
563,MI,data engineer,151000,USD,151000,US,onsite,US,M
564,MI,data engineer,140000,USD,140000,US,onsite,US,M
565,SE,data scientist,275300,USD,275300,US,remote,US,M
566,SE,data scientist,183500,USD,183500,US,remote,US,M
569,SE,data analyst,135000,USD,135000,US,onsite,US,M
570,SE,data analyst,105500,USD,105500,US,onsite,US,M
571,SE,data analyst,100000,USD,100000,US,remote,US,M
572,SE,data analyst,80000,USD,80000,US,remote,US,M
575,SE,data engineer,160000,USD,160000,CA,remote,CA,M
576,SE,data engineer,145000,USD,145000,CA,remote,CA,M
577,MI,data analyst,154000,USD,154000,US,onsite,US,M
578,MI,data analyst,143000,USD,143000,US,onsite,US,M
579,MI,data scientist,65000,GBP,78990,GB,onsite,GB,M
580,MI,data scientist,42000,GBP,51039,GB,onsite,GB,M
581,EN,data scientist,190000,USD,190000,US,onsite,US,M
582,EN,data scientist,120000,USD,120000,US,onsite,US,M
583,MI,data scientist,70000,GBP,85066,GB,onsite,GB,M
584,MI,data scientist,42000,GBP,51039,GB,onsite,GB,M
585,MI,data scientist,90000,GBP,109371,GB,onsite,GB,M
586,MI,data scientist,60000,GBP,72914,GB,onsite,GB,M
587,SE,data engineer,150000,USD,150000,US,onsite,US,M
588,SE,data engineer,111000,USD,111000,US,onsite,US,M
589,EX,data engineer,265000,USD,265000,US,onsite,US,M
590,EX,data engineer,235000,USD,235000,US,onsite,US,M
591,EN,data scientist,112000,CHF,121093,CH,hybrid,CH,L
592,MI,data scientist,70000,EUR,73546,DE,remote,DE,M
593,SE,data engineer,160000,USD,160000,US,remote,US,M
594,SE,data engineer,130000,USD,130000,US,remote,US,M
595,MI,data engineer,75000,USD,75000,US,remote,US,M
596,MI,data engineer,60400,USD,60400,US,remote,US,M
597,EN,data analyst,85000,USD,85000,US,remote,US,M
598,EN,data analyst,75000,USD,75000,US,remote,US,M
599,SE,data engineer,252000,USD,252000,US,onsite,US,M
600,SE,data engineer,129000,USD,129000,US,onsite,US,M
601,EN,data engineer,92700,USD,92700,US,remote,US,M
602,EN,data engineer,61800,USD,61800,US,remote,US,M
603,SE,lead data scientist,164000,EUR,172309,IE,remote,IE,L
604,MI,data scientist,56000,EUR,60093,AT,remote,DE,M
605,MI,data analyst,83500,USD,83500,US,remote,US,M
606,MI,data analyst,52500,USD,52500,US,remote,US,M
607,SE,data scientist,201036,USD,201036,US,onsite,US,M
608,SE,data scientist,134024,USD,134024,US,onsite,US,M
609,SE,data analyst,165000,USD,165000,US,remote,US,M
610,SE,data analyst,140000,USD,140000,US,remote,US,M
611,EN,data engineer,62000,USD,62000,US,remote,US,M
612,EN,data engineer,58000,USD,58000,US,remote,US,M
613,SE,data scientist,172000,USD,172000,US,onsite,US,M
614,SE,data scientist,115000,USD,115000,US,onsite,US,M
615,EN,data engineer,125000,USD,125000,US,onsite,US,M
616,EN,data engineer,90000,USD,90000,US,onsite,US,M
617,SE,data engineer,163800,USD,163800,US,onsite,US,M
618,SE,data engineer,126000,USD,126000,US,onsite,US,M
619,SE,data scientist,237000,USD,237000,US,remote,US,M
620,SE,data scientist,145000,USD,145000,US,remote,US,M
621,MI,data engineer,90000,USD,90000,US,remote,US,M
622,MI,data engineer,90000,USD,90000,US,remote,US,M
623,SE,data engineer,139500,USD,139500,US,onsite,US,M
624,SE,data engineer,109400,USD,109400,US,onsite,US,M
625,SE,data scientist,258000,USD,258000,CA,onsite,CA,M
626,SE,data scientist,190000,USD,190000,CA,onsite,CA,M
627,MI,data engineer,145000,USD,145000,US,onsite,US,M
628,MI,data engineer,120000,USD,120000,US,onsite,US,M
629,SE,data engineer,205600,USD,205600,US,onsite,US,L
630,SE,data engineer,105700,USD,105700,US,onsite,US,L
631,SE,data engineer,252000,USD,252000,US,onsite,US,M
632,SE,data engineer,129000,USD,129000,US,onsite,US,M
633,SE,data scientist,239748,USD,239748,US,onsite,US,M
634,SE,data scientist,159832,USD,159832,US,onsite,US,M
635,SE,data scientist,186300,USD,186300,US,remote,US,M
636,SE,data scientist,102500,USD,102500,US,remote,US,M
637,SE,data engineer,165000,USD,165000,US,onsite,US,M
638,SE,data engineer,132300,USD,132300,US,onsite,US,M
639,SE,data scientist,190000,USD,190000,US,onsite,US,M
640,SE,data scientist,126000,USD,126000,US,onsite,US,M
643,SE,data engineer,153600,USD,153600,US,remote,US,M
644,SE,data engineer,106800,USD,106800,US,remote,US,M
645,SE,data engineer,172600,USD,172600,US,remote,US,M
646,SE,data engineer,107900,USD,107900,US,remote,US,M
647,SE,data analyst,180180,USD,180180,US,onsite,US,M
648,SE,data analyst,106020,USD,106020,US,onsite,US,M
651,SE,data analyst,153600,USD,153600,US,onsite,US,M
652,SE,data analyst,100500,USD,100500,US,onsite,US,M
653,SE,data analyst,206500,USD,206500,US,remote,US,M
654,SE,data analyst,121600,USD,121600,US,remote,US,M
655,SE,data engineer,260000,USD,260000,US,onsite,US,M
656,SE,data engineer,225000,USD,225000,US,onsite,US,M
657,EX,data engineer,194500,USD,194500,US,onsite,US,M
658,EX,data engineer,115500,USD,115500,US,onsite,US,M
661,EN,data analyst,95000,USD,95000,US,remote,US,M
662,EN,data analyst,70000,USD,70000,US,remote,US,M
663,SE,data engineer,275000,USD,275000,US,onsite,US,M
664,SE,data engineer,160000,USD,160000,US,onsite,US,M
665,SE,data analyst,115934,USD,115934,US,remote,US,M
666,SE,data analyst,81666,USD,81666,US,remote,US,M
667,SE,data scientist,175000,USD,175000,US,onsite,US,M
668,SE,data scientist,120000,USD,120000,US,onsite,US,M
673,MI,data analyst,206000,USD,206000,US,onsite,US,M
674,MI,data analyst,130000,USD,130000,US,onsite,US,M
679,SE,data analyst,110000,USD,110000,US,remote,US,M
680,SE,data analyst,75000,USD,75000,US,remote,US,M
683,MI,data analyst,160000,USD,160000,US,onsite,US,M
684,MI,data analyst,112000,USD,112000,US,onsite,US,M
685,MI,data engineer,162500,USD,162500,US,onsite,US,M
686,MI,data engineer,130000,USD,130000,US,onsite,US,M
689,MI,data scientist,145000,USD,145000,US,onsite,US,M
690,MI,data scientist,100000,USD,100000,US,onsite,US,M
691,SE,data engineer,147100,USD,147100,US,onsite,US,M
692,SE,data engineer,90700,USD,90700,US,onsite,US,M
693,EN,data engineer,115100,USD,115100,US,onsite,US,M
694,EN,data engineer,73900,USD,73900,US,onsite,US,M
695,SE,data engineer,168400,USD,168400,US,onsite,US,M
696,SE,data engineer,105200,USD,105200,US,onsite,US,M
697,SE,data scientist,210000,USD,210000,US,onsite,US,M
